Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SED1RAA,2012.12,50717,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2013.03,49761,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2013.06,50825,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2013.09,50737,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2013.12,52384,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2014.03,51896,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2014.06,53423,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2014.09,53441,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2014.12,55127,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2015.03,54587,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2015.06,55870,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2015.09,55168,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2015.12,56818,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2016.03,56250,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2016.06,57566,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2016.09,57201,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2016.12,59091,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2017.03,58599,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2017.06,60014,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2017.09,59725,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2017.12,61604,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2018.03,60865,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2018.06,63173,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
BDCQ.SED1RAA,2018.09,62118,,F,Number,0,Business Data Collection - BDC,Region by employment variable,Filled jobs,Northland,Actual,,
